Code,Year,Coal rents (% of GDP),Current health expenditure (% of GDP),Exports of goods and services (% of GDP),Forest rents (% of GDP),Fuel exports (% of merchandise exports),Fuel imports (% of merchandise imports),GDP (constant 2015 US$),GDP (current US$),Gini index,"Government expenditure on education, total (% of GDP)",Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)",Manufactures exports (% of merchandise exports),Manufactures imports (% of merchandise imports),Merchandise exports (current US$),Merchandise imports (current US$),Merchandise trade (% of GDP),Military expenditure (% of GDP),Mineral rents (% of GDP),Natural gas rents (% of GDP),Oil rents (% of GDP),"Population, total",Research and development expenditure (% of GDP),Ores and metals exports (% of merchandise exports),Ores and metals imports (% of merchandise imports),Total natural resources rents (% of GDP),Human Development Index,GDP_pc
USA,2021,0.165541837941739,,10.8927266773296,0.0377125136209131,15.9220948098952,7.62835925904237,20529459727000.0,23315080560000.0,39.8,,14.5886735893826,4.69785886363742,57.5274298542755,77.1303779668808,1754300000000.0,2935314000000.0,20.1140801891357,3.45797721923449,0.101999501227916,0.363207721748918,0.61148265568772,332031554,3.45705008506775,3.65231110135565,2.86799506175714,1.27994423022721,0.921,61829.84562665993
CHN,2021,0.607568894164746,,19.9439738309693,0.0708433815950244,1.23956113376074,15.925086402076,15851276922881.8,17820459508852.2,,3.29784345626831,17.358017035016,0.981015135544882,93.5511685188401,55.6826021351876,3358163000000.0,2686747000000.0,33.9211791760882,1.61307386433133,0.510049245324858,0.210524604380993,0.308578757061099,1412360000,2.4326000213623,1.37386649268365,15.2755264007761,1.70756488252672,0.768,11223.255347702994
JPN,2021,0.0003574945858023,,18.201577671383,0.028703107133117,1.35105888659274,20.0353003990571,4462649040483.4,5005536736792.29,,3.31738376617432,18.7389477543111,-0.233352779398264,85.6152784621078,57.8717301394947,756032000000.0,768976000000.0,30.4664230868731,1.01829737669403,0.0072055363712322,0.0088070035570798,0.0022313211196428,125681593,3.29580998420715,3.50428845966949,9.37171205994675,0.0473044627668744,0.925,35507.57858776822
DEU,2021,0.014480866265137,12.80539513,47.2795201039406,0.0308696938217838,2.60156267352484,8.72065735754442,3569113619670.71,4278503934689.85,,4.53096389770508,41.8815740369597,3.06666666666673,84.2248636533673,72.470580144152,1636742000000.0,1421512000000.0,71.4795182307502,1.32678559033803,0.0,0.0176994358454919,0.0140349033815617,83196078,3.14246010780334,3.37551358136732,5.27031161355484,0.0770848993139744,0.942,42900.022518738326
GBR,2021,0.0010227368526121,11.93908691,29.5973125272812,0.0,8.32935578799489,10.2697318433269,3075810468184.32,3141506156618.7,,5.32736825942993,29.7513352208921,2.51837109614213,62.2455188736128,64.1601183773778,470508000000.0,694635000000.0,37.0886747283691,2.16157191775693,5.75178862952734e-05,0.171321922432051,0.416142083269318,67026292,2.91476011276245,6.9118678026751,4.95217301168962,0.588544260440276,0.929,45889.61102285533
IND,2021,1.28029169863481,,21.5143885988197,0.160725947336095,14.2846592727887,29.8728403228095,2761585207048.94,3150306839142.13,34.2,4.63514137268066,24.1532946045737,5.13140747176368,68.0733689919056,47.945167920397,395426000000.0,573092000000.0,30.7436084627153,2.47144662861613,1.31522382631184,0.0774937091732812,0.325610194100608,1407563842,,4.82679996577803,5.46113363990412,3.15934537555664,0.633,1961.9608891949215
FRA,2021,0.0,,30.0349943527843,0.0252966547056052,3.19290142518303,10.0028012535902,2575192242890.61,2959355819170.5,,5.2450270652771,31.9173196467952,1.64233141038385,76.0385360491117,74.4794996806541,585021000000.0,715082000000.0,43.9319595020655,1.91536145421393,0.0,0.0001377956867409,0.0071021867060762,67764304,2.2191801071167,2.59438113101001,2.665343931446,0.0325366370984223,0.903,38002.194236225165
ITA,2021,0.0,9.45429516,32.0692327932507,0.0099675453738169,3.09783025955749,13.3815862701718,1891178258127.58,2155360298998.03,,4.13088607788086,29.836575905379,1.87378325762481,80.1652149960244,66.6997719784773,615635000000.0,567421000000.0,54.8890132452552,1.72006283098808,0.0,0.0250363768484909,0.077005203060734,59133173,1.45392000675201,2.89371816843881,5.96683571743097,0.112009125283042,0.895,31981.680707841944
BRA,2021,0.0143152350634996,,19.5616773567725,0.763404742957637,13.6578322774084,13.6008473721902,1847863165699.6,1649622821885.14,52.9,,18.61975128465,8.30165975585673,25.1214886663242,76.0027846595754,280815000000.0,234690000000.0,31.2498707680885,1.16368211072875,4.48894018515032,0.0699944991767358,2.60445733698427,214326223,,19.7712118224733,3.91375503307516,7.94111199933246,0.754,8621.731582045377
KOR,2021,0.0010989018725859,,41.8772295047804,0.0147189954905301,6.20942713728516,22.366824761867,1696543311942.81,1818432106880.04,,,38.3222274220465,2.49833333333339,88.0541681708421,61.3683991507353,644400000000.0,615093000000.0,69.2625803974044,2.80900611973598,0.0004832931146516,0.0051989680684581,0.0283124162355571,51744876,4.93011999130249,3.15233559798272,8.53982971016323,0.049812574781783,0.925,32786.691999084316
CAN,2021,0.0730211132400775,11.67882252,30.9139877064956,0.0680306464521413,25.8660685959949,6.18646997707971,1690931636476.42,2001486745423.92,,4.59400606155396,30.9554282763353,3.39519318527528,42.031027834278,75.7575274921902,507615000000.0,503985000000.0,50.5424281381258,1.26729446473527,1.18426034810901,0.793958417895896,2.82978528865474,38226498,1.69727003574371,8.94646156587155,4.12497803339828,4.94905581435186,0.936,44234.542135573596
AUS,2021,0.786459619916648,,21.9768193897174,0.123032396768265,27.706071696529,10.2677770093236,1521231998735.21,1559033756285.13,,5.55604839324951,17.7255408465983,2.86391042204994,8.23857453952919,77.4811035189482,344864000000.0,261165000000.0,38.8720896874002,1.98912270035816,10.4657754902913,1.71840640102869,0.264201375268924,25685412,,42.8423223013758,1.78846145679274,13.3578752832739,0.951,59225.52454035816
RUS,2021,0.612542293942399,,29.8948963376326,0.313757348169815,43.1468587746174,0.775995923832277,1502645054025.01,1836892075547.52,,,20.6628478509923,6.69445891957637,22.1259534734508,79.7535840766555,494350000000.0,304013000000.0,43.4627058730182,3.7204513646667,2.05397196912409,5.85907379530895,9.67159402978612,144130482,,7.40377266771173,2.90782270428842,18.5109394363314,0.822,10425.588211277958
ESP,2021,0.0,,34.1764229438186,0.0179665098501539,6.00550281136412,12.986291365859,1251378537358.98,1445651653604.63,,4.58532047271729,33.2148671755475,3.0931351197642,64.8520341062681,65.1165471497367,379969000000.0,419700000000.0,55.315469532794,1.36942532659619,0.0964957986887776,0.0005672197304352,0.000151493558291,47415794,1.42929005622864,3.88819800713491,4.1515361140672,0.115181021827658,0.905,26391.59722515624
MEX,2021,0.0161205544445626,,40.6786594246585,0.105388324112049,5.5701378045074,8.3697474797823,1236698568609.36,1312557512901.28,,,42.6300130202615,5.68920847683753,76.5435901540485,74.0292084378402,494765000000.0,522455000000.0,77.4990802308948,0.682059196439262,1.36465937318187,0.0909613894136,2.06594374719816,126705138,,2.49514955203276,2.74873959660734,3.64307338835023,0.758,9760.445299458654
